major,category,full_name,total_delete_name
總統府主管,中研院,中央研究院,中央研究院
總統府主管,中研院,科學研究基金,中央研究院
行政院主管,中選會,中央選舉委員會,中央選舉委員會及所屬
內政部主管,內政部,中央警察大學,中央警察大學
內政部主管,內政部,內政部,內政部
內政部主管,內政部,空中勤務總隊,空中勤務總隊
內政部主管,內政部,建築研究所,建築研究所
內政部主管,內政部,消防署,消防署及所屬
內政部主管,內政部,國土永續發展基金,國土管理署及所屬
內政部主管,內政部,國土管理署,國土管理署及所屬
內政部主管,內政部,國家公園署,國家公園署及所屬
內政部主管,內政部,國家住宅及都市更新中心,內政部
內政部主管,內政部,移民署,移民署
內政部主管,內政部,新住民發展基金,移民署
內政部主管,內政部,營建建設基金,國土管理署及所屬
內政部主管,內政部,警政署,警政署及所屬
內政部主管,內政部,刑事警察局,警政署及所屬
行政院主管,公平會,公平交易委員會,公平交易委員會
行政院主管,公平會,反托拉斯基金,公平交易委員會
文化部主管,文化部,中正紀念堂,文化部
文化部主管,文化部,文化內容策進院,文化部
文化部主管,文化部,文化部,文化部
文化部主管,文化部,文化發展基金,文化部
文化部主管,文化部,文化資產局,文化資產局
文化部主管,文化部,國父紀念館,文化部
文化部主管,文化部,國立臺灣工藝研究發展中心,國立臺灣工藝研究發展中心
文化部主管,文化部,國家人權博物館,國家人權博物館
文化部主管,文化部,國家表演藝術中心,文化部
文化部主管,文化部,國家電影及視聽文化中心,文化部
文化部主管,文化部,傳統藝術中心,國立傳統藝術中心
文化部主管,文化部,臺灣文學館,國立臺灣文學館
文化部主管,文化部,臺灣史前文化博物館,國立臺灣史前文化博物館
文化部主管,文化部,臺灣博物館,國立臺灣博物館
文化部主管,文化部,影視及流行音樂產業局,影視及流行音樂產業局
文化部主管,文化部,歷史博物館,國立臺灣歷史博物館
文化部主管,文化部,Taiwan Plus,文化部
文化部主管,文化部,國立臺灣美術館,國立臺灣美術館及所屬
司法院主管,司法院,司法院,司法院
司法院主管,司法院,各級法院,臺灣高等法院
司法院主管,司法院,各級法院,臺灣臺北地方法院
司法院主管,司法院,NA,最高法院
司法院主管,司法院,NA,最高行政法院
司法院主管,司法院,NA,臺北高等行政法院
司法院主管,司法院,NA,臺中高等行政法院
司法院主管,司法院,NA,高雄高等行政法院
司法院主管,司法院,NA,懲戒法院
司法院主管,司法院,NA,法官學院
司法院主管,司法院,NA,智慧財產及商業法院
司法院主管,司法院,NA,臺灣高等法院臺中分院
司法院主管,司法院,NA,臺灣高等法院臺南分院
司法院主管,司法院,NA,臺灣高等法院高雄分院
司法院主管,司法院,NA,臺灣高等法院花蓮分院
