ID,category,full_name,total_delete_name
6395,NCC,國家通訊傳播委員會,國家通訊傳播委員會
6396,NCC,國家通訊傳播委員會,國家通訊傳播委員會
6397,NCC,國家通訊傳播委員會,國家通訊傳播委員會
6398,NCC,國家通訊傳播委員會,國家通訊傳播委員會
6399,NCC,國家通訊傳播委員會,國家通訊傳播委員會
6401,交通部,運輸安全調查委員會,國家運輸安全調查委員會
6402,行政院,公共工程委員會,公共工程委員會
6403,行政院,公共工程委員會,公共工程委員會
6404,交通部,交通部,交通部
6405,交通部,交通部,交通部
6406,交通部,交通部,交通部
6407,交通部,交通部,交通部
6408,交通部,交通部,交通部
6409,交通部,交通部,交通部
6410,交通部,交通部,交通部
6411,交通部,交通部,交通部
6412,交通部,交通部,交通部
6413,交通部,交通部,交通部
6414,交通部,交通部,交通部
6415,交通部,交通部,交通部
6416,交通部,民用航空局,民用航空局
6417,交通部,觀光署,觀光署及所屬
6418,交通部,公路局,公路局及所屬
6419,數發部,數位發展部,數位發展部
6420,數發部,數位發展部,數位發展部
6421,數發部,數位發展部,數位發展部
6422,數發部,數位發展部,數位發展部
6423,數發部,數位發展部,數位發展部
6424,數發部,數位發展部,數位發展部
6425,數發部,數位發展部,數位發展部
6426,數發部,資通安全署,資通安全署
6427,數發部,數位發展署,數位發展署
6428,數發部,數位發展署,數位發展署
6429,數發部,數位發展署,數位發展署
6430,外交部,外交部,外交部
6431,外交部,外交部,外交部
6432,外交部,外交部,外交部
6433,外交部,外交部,外交部
6434,外交部,外交部,外交部
6435,外交部,外交部,外交部
6436,外交部,外交部,外交部
6437,外交部,外交部,外交部
6438,外交部,外交部,外交部
6439,外交部,外交部,外交部
6440,外交部,外交部,外交部
6441,外交部,外交部,外交部
6442,外交部,外交部,外交部
6443,外交部,外交部,外交部
6444,外交部,外交部,外交部
6445,外交部,外交部,外交部
6446,外交部,外交部,外交部
6447,國防部,國防部,國防部所屬
6448,國防部,國防部,國防部
6449,國防部,國防部,國防部所屬
6450,國防部,國防部,國防部
6451,國防部,國防部,國防部
6452,行政院,行政院,行政院
6453,行政院,行政院,行政院
6454,行政院,行政院,行政院
6455,行政院,行政院,行政院
6456,行政院,行政院,行政院
6457,行政院,行政院,行政院
6458,行政院,行政院,行政院
6459,行政院,行政院,行政院
6460,行政院,行政院,行政院
6461,行政院,行政院,行政院
6462,行政院,行政院,行政院
6463,行政院,行政院,行政院
6464,行政院,行政院,行政院
6465,行政院,行政院,行政院
6466,國發會,國家發展委員會,國家發展委員會
6467,國發會,國家發展委員會,國家發展委員會
6468,國發會,國家發展委員會,國家發展委員會
6469,國發會,國家發展委員會,國家發展委員會
6470,國發會,國家發展委員會,國家發展委員會
6471,國發會,國家發展委員會,國家發展委員會
6472,國發會,國家發展委員會,國家發展委員會
6473,國發會,國家發展委員會,國家發展委員會
6474,國發會,國家發展委員會,國家發展委員會
6475,國發會,國家發展委員會,國家發展委員會
6476,國發會,國家發展委員會,國家發展委員會
6477,國發會,檔案管理局,檔案管理局
6478,國發會,檔案管理局,檔案管理局
6479,公平會,公平交易委員會,公平交易委員會
6480,公平會,公平交易委員會,公平交易委員會
6481,經濟部,經濟部,經濟部
6482,經濟部,經濟部,經濟部
6483,經濟部,經濟部,經濟部
6484,經濟部,經濟部,經濟部
6485,經濟部,經濟部,經濟部
6486,經濟部,經濟部,經濟部
6487,經濟部,經濟部,經濟部
6488,經濟部,經濟部,經濟部
6489,經濟部,經濟部,經濟部
6490,經濟部,經濟部,經濟部
6491,經濟部,經濟部,經濟部
6492,經濟部,經濟部,經濟部
6493,經濟部,經濟部,經濟部
6494,經濟部,經濟部,經濟部
6495,經濟部,經濟部,經濟部
6496,經濟部,經濟部,經濟部
6497,經濟部,經濟部,經濟部
6498,經濟部,產業發展署,產業發展署
6499,經濟部,產業發展署,產業發展署
6500,經濟部,產業發展署,產業發展署
6501,經濟部,國際貿易署,產業發展署
6502,經濟部,國際貿易署,產業發展署
6503,經濟部,標準檢驗局,產業發展署
6504,經濟部,標準檢驗局,產業發展署
6505,經濟部,標準檢驗局,產業發展署
6506,經濟部,標準檢驗局,產業發展署
6507,經濟部,標準檢驗局,產業發展署
6508,經濟部,智慧財產局,產業發展署
6509,經濟部,智慧財產局,產業發展署
6510,經濟部,水利署,水利署及所屬
6511,經濟部,水利署,水利署及所屬
6512,經濟部,水利署,水利署及所屬
6513,經濟部,商業發展署,商業發展署
6514,經濟部,商業發展署,商業發展署
6515,經濟部,商業發展署,商業發展署
6516,經濟部,中小及新創企業署,中小及新創企業署
6517,經濟部,中小及新創企業署,中小及新創企業署
6518,經濟部,產業園區管理局,經濟部
6519,經濟部,產業園區管理局,經濟部
6520,經濟部,地質調查及礦業管理中心,地質調查及礦業管理中心
6521,經濟部,能源署,能源署
6522,經濟部,能源署,能源署
6523,經濟部,能源署,能源署
6524,經濟部,能源署,能源署
6525,經濟部,能源署,能源署
6526,農業部,農業部,農業部
6527,農業部,農業部,農業部
6528,農業部,農業部,農業部
6529,農業部,農業部,農業部
6530,農業部,農業部,農業部
6531,農業部,農業部,農業部
6532,農業部,農業部,農業部
6533,農業部,農業部,農業部
6534,農業部,農業部,農業部
6535,農業部,農業部,農業部
6536,農業部,農業部,農業部
6537,農業部,農業部,農業部
6538,農業部,農業部,農業部
6539,農業部,農業部,農業部
6540,農業部,林業及自然保育署,林業及自然保育署及所屬
6541,農業部,林業及自然保育署,林業及自然保育署及所屬
6542,農業部,農村發展及水土保持署,農村發展及水土保持署及所屬
6543,農業部,農村發展及水土保持署,農村發展及水土保持署及所屬
6544,農業部,漁業署,漁業署及所屬
6545,農業部,漁業署,漁業署及所屬
6546,農業部,漁業署,漁業署及所屬
6547,農業部,動植物防疫檢疫署,動植物防疫檢疫署及所屬
6548,農業部,動植物防疫檢疫署,動植物防疫檢疫署及所屬
6549,農業部,動植物防疫檢疫署,動植物防疫檢疫署及所屬
6550,農業部,動植物防疫檢疫署,動植物防疫檢疫署及所屬
6551,農業部,動植物防疫檢疫署,動植物防疫檢疫署及所屬
6552,農業部,農糧署,農糧署及所屬
6553,農業部,農糧署,農糧署及所屬
6554,農業部,農糧署,農糧署及所屬
6555,農業部,農田水利署,農田水利署
6556,農業部,農田水利署,農田水利署
6557,農業部,農田水利署,農田水利署
6558,國防部,戰略規劃司,國防部
6559,國防部,國防部,國防部
6560,國防部,國防部,國防部
6561,國防部,國防部,國防部
6562,國防部,國防部,國防部
6563,國防部,國防部,國防部
6564,國防部,國防部,國防部
6565,國防部,海軍司令部,國防部所屬
6566,國防部,政治作戰局,國防部所屬
6567,國防部,全民防衛動員署,國防部所屬
6568,國防部,陸軍司令部,國防部所屬
6569,國防部,空軍司令部,國防部所屬
6570,國防部,全民防衛動員署,國防部所屬
6571,國防部,國防部,國防部
6572,國防部,空軍司令部,國防部所屬
6573,國防部,資通電軍指揮部,國防部所屬
6574,國防部,軍備局,國防部所屬
6575,國防部,陸軍司令部,國防部所屬
6576,國防部,海軍司令部,國防部所屬
6577,國防部,海軍司令部,國防部所屬
6578,國防部,軍備局,國防部所屬
6579,國防部,國防部,國防部
6580,國防部,國防部,國防部
6581,國防部,國防部,國防部
6582,國防部,陸軍司令部,國防部所屬
6583,國防部,軍備局,國防部所屬
6584,總統府,國家安全局,國家安全會議
6585,僑委會,僑務委員會,僑務委員會
6586,僑委會,僑務委員會,僑務委員會
6587,退輔會,國軍退除役官兵輔導委員會,國軍退除役官兵輔導委員會
6588,中研院,中央研究院,中央研究院
6589,中研院,中央研究院,中央研究院
6590,中研院,中央研究院,中央研究院
6591,故宮,故宮博物院,國立故宮博物院
6592,故宮,故宮博物院,國立故宮博物院
6593,故宮,故宮博物院,國立故宮博物院
6594,核安會,核能安全委員會,核能安全委員會及所屬
6595,核安會,核能安全委員會,核能安全委員會及所屬
6596,核安會,核能安全委員會,核能安全委員會及所屬
6597,核安會,核能安全委員會,核能安全委員會及所屬
6598,核安會,核能安全委員會,核能安全委員會及所屬
6599,教育部,教育部,教育部
6600,教育部,教育部,教育部
6601,教育部,教育部,教育部
6602,教育部,教育部,教育部
6603,教育部,教育部,教育部
6604,教育部,教育部,教育部
6605,教育部,教育部,教育部
6606,教育部,教育部,教育部
6607,教育部,教育部,教育部
6608,教育部,教育部,教育部
6609,教育部,教育部,教育部
6610,教育部,教育部,教育部
6611,教育部,教育部,教育部
6612,教育部,教育部,教育部
6613,教育部,教育部,教育部
6614,教育部,國民及學前教育署,國民及學前教育署
6615,教育部,國民及學前教育署,國民及學前教育署
6616,教育部,國民及學前教育署,國民及學前教育署
6617,教育部,國民及學前教育署,國民及學前教育署
6618,教育部,國民及學前教育署,國民及學前教育署
6619,教育部,體育署,體育署
6620,教育部,體育署,體育署
6621,教育部,體育署,體育署
6622,教育部,體育署,體育署
6623,教育部,體育署,體育署
6624,教育部,青年發展署,青年發展署
6625,教育部,青年發展署,青年發展署
6626,教育部,青年發展署,青年發展署
6627,教育部,國家圖書館,青年發展署
6628,教育部,國立公共資訊圖書館,國立公共資訊圖書館
6629,教育部,國立教育廣播電臺,國立教育廣播電臺
6630,教育部,國家教育研究院,國家教育研究院
6631,文化部,文化部,文化部
6632,文化部,文化部,文化部
6633,文化部,文化部,文化部
6634,文化部,文化部,文化部
6635,文化部,文化部,文化部
6636,文化部,文化部,文化部
6637,文化部,文化部,文化部
6638,文化部,文化部,文化部
6639,文化部,文化部,文化部
6640,文化部,文化部,文化部
6641,文化部,文化部,文化部
6642,文化部,文化部,文化部
6643,文化部,文化部,文化部
6644,文化部,文化部,文化部
6645,文化部,文化部,文化部
6646,文化部,文化部,文化部
6647,文化部,文化部,文化部
6648,文化部,文化部,文化部
6649,文化部,文化部,文化部
6650,文化部,文化部,文化部
6651,文化部,文化部,文化部
6652,文化部,文化部,文化部
6653,文化部,文化部,文化部
6654,文化部,文化部,文化部
6655,文化部,文化部,文化部
6656,文化部,文化部,文化部
6657,文化部,文化部,文化部
6658,文化部,文化部,文化部
6659,文化部,文化資產局,文化資產局
6660,文化部,影視及流行音樂產業局,影視及流行音樂產業局
6661,文化部,影視及流行音樂產業局,影視及流行音樂產業局
6662,文化部,傳統藝術中心,國立傳統藝術中心
6663,文化部,傳統藝術中心,傳統藝術中心
6664,文化部,國立臺灣美術館,國立臺灣美術館及所屬
6665,文化部,國立臺灣工藝研究發展中心,國立臺灣工藝研究發展中心
6666,文化部,國立臺灣工藝研究發展中心,國立臺灣工藝研究發展中心
6667,文化部,臺灣博物館,國立臺灣博物館
6668,文化部,臺灣史前文化博物館,國立臺灣史前文化博物館
6669,文化部,國家人權博物館,國家人權博物館
