"ID","filename","序號","預算年度","預算部分","歲出歲入","category","full_name","result","提案人","連署人","place","time_place","cost","action","日期","名稱","url","註記","內容","併案審查註記","who","deleted","frozen","item","item_note","last_cost","last_budget","budget_diff","budget_url"
7,"委員會-11-2-15-12","7",114,"關於原住民族委員會、原住民族文化發展中心部分。","歲出部分","原民會","原住民族委員會","保留","徐欣瑩","高金素梅;張智倫","內政委員會","2024/11/25（內政委員會）","12836000","凍結","2024-11-25","第11屆第2會期內政委員會第12次全體委員會議","https://ppg.ly.gov.tw/ppg/sittings/2024112278/details?meetingDate=113/11/25&meetingTime=09:00-17:30&departmentCode=null",NA,"114年度原住民族委員會歲出預算第2目「綜合規劃發展-推展原住民族國際事務經費-業務費-委辦費」編列預算1,283萬6千元。其「針對辦理南島民族論壇官方中英文網站及南島圖書資料庫維運與更新」經費39萬元，工作項目為運用本平台影響力提升國內外民眾對南島民族論壇的瞭解與認同，其預期效益並無包含使用人次，僅有服務品質與使用滿意度，其網站中亦沒有服務品質、使用滿意度相關調查，無法蒐集相關指標，爰凍結「針對辦理南島民族論壇官方中英文網站及南島圖書資料庫維運與更新」預算10%，俟原住民族委員會就論壇使用人次、服務品質調查方案與達成目標所需時間，提出具體改進方案（計畫）後，向立法院內政委員會提出專案報告並經同意後，始得動支。【61】",NA,"徐欣瑩（高金素梅、張智倫）","0","12836000","3703610200 綜合規劃發展 > 04 推展原住民族國際事務經費 > 2000 業務費 > 2039 委辦費",NA,NA,"14180000","-1344000 (-9%)","https://www.cip.gov.tw/zh-tw/news/data-list/AD87E77E23958BA0/D063800730D7E8AE005A2849869E4F36-info.html"
8,"委員會-11-2-15-12","20",114,"關於原住民族委員會、原住民族文化發展中心部分。","歲出部分","原民會","原住民族委員會","通過","徐欣瑩","高金素梅;張智倫","內政委員會","2024/11/25（內政委員會）","13100000","凍結","2024-11-25","第11屆第2會期內政委員會第12次全體委員會議","https://ppg.ly.gov.tw/ppg/sittings/2024112278/details?meetingDate=113/11/25&meetingTime=09:00-17:30&departmentCode=null",NA,"114年度原住民族委員會歲出預算第5目「公共建設業務-原住民族地區部落聯絡道路養護及建置族群主流化友善公共空間經費-業務費-委辦費」編列預算1,310萬元。針對「委託辦理原住民族道路、環境品質、友善空間、安全及相關住宅業務、部落建設等媒體政策與業務宣傳費」計畫總計300萬元，然其績效指標僅說明宣傳管道平台，並無實際績效衡量標準，預計效益僅寫下提升資訊可見度，爰凍結該項預算，俟原住民族委員會就宣傳績效指標、平台、宣傳次數、成效、提升資訊可見度之標準，提出具體改進方案（計畫）後，向立法院內政委員會提出專案報告並經同意後，始得動支。【122】","114 年度原住民族委員會歲出預算第 5 目「公共建設業務」編列 16 億 4,291 萬 5千元，爰就下列各案併案凍結 2,000 萬元，俟原住民族委員會向立法院內政委員 會提出專案報告並經同意後，始得動支。","徐欣瑩（高金素梅、張智倫）","0","20000000","3703610700 公共建設業務 > 04 原住民族地區部落聯絡道路養護及建置族群主流化友善公共空間經費 > 2000 業務費 > 2039 委辦費",NA,NA,"9350000","3750000 (+40%)","https://www.cip.gov.tw/zh-tw/news/data-list/AD87E77E23958BA0/D063800730D7E8AE005A2849869E4F36-info.html"
9,"委員會-11-2-15-12","10",114,"關於原住民族委員會、原住民族文化發展中心部分。","歲出部分","原民會","原住民族委員會","通過","牛煦庭","黃建賓;許宇甄","內政委員會","2024/11/25（內政委員會）","13905000","凍結","2024-11-25","第11屆第2會期內政委員會第12次全體委員會議","https://ppg.ly.gov.tw/ppg/sittings/2024112278/details?meetingDate=113/11/25&meetingTime=09:00-17:30&departmentCode=null",NA,"114年度原住民族委員會歲出預算第10目「社會服務推展-原住民族社會安全發展計畫-業務費-委辦費」運用AI及高齡科技創造原住民族長者高齡友善居家安全環境試辦計畫編列預算1,390萬5千元。本案經原住民族委員會說明係以自動量測之身高體重計、血壓計等器材量測原住民族長者生理資料，並累積大量數據後再行分析，核與AI功能較無相關。又該生理資料係屬個人資料保護法所稱之健康檢查資料，應受相當之保護，如於測量後有加以蒐集、利用之需求，應事先取得當事人之同意，惟原住民族委員會並未就「如何取得當事人同意」一節提出說明，僅泛稱均會依個人資料保護法規定辦理，對於當事人個人資料之保障略有不足，而有加強之必要，爰凍結該項預算，俟原住民族委員會向立法院內政委員會提出專案報告並經同意後，始得動支。【197】","114 年度原住民族委員會歲出預算第 10 目「社會服務推展」編列 30 億 2,227 萬 2 千元，爰就下列各案併案凍結 2,000 萬元，俟原住民族委員會向立法院內政委員會提出專案報告並經同意後，始得動支。","牛煦庭（黃建賓、許宇甄）","0","20000000","06303610400 社會服務推展 > 01 原住民族社會安全發展計畫 > 子計畫","運用AI及高齡科技創造原住民族長者高齡友善居家安全環境試辦計畫13905千元。〈委辦費〉",NA,"14720000","-815000 (-6%)","https://www.cip.gov.tw/zh-tw/news/data-list/AD87E77E23958BA0/D063800730D7E8AE005A2849869E4F36-info.html"
10,"委員會-11-2-15-12","43",114,"關於原住民族委員會、原住民族文化發展中心部分。","歲出部分","原民會","原住民族委員會","通過","李柏毅","王美惠;張宏陸","內政委員會","2024/11/25（內政委員會）","15000000","凍結","2024-11-25","第11屆第2會期內政委員會第12次全體委員會議","https://ppg.ly.gov.tw/ppg/sittings/2024112278/details?meetingDate=113/11/25&meetingTime=09:00-17:30&departmentCode=null",NA,"114年度原住民族委員會歲出預算第9目「原住民族教育推展-國立原住民族博物館籌備業務-業務費-委辦費」委託辦理國立原住民族博物館園區維護管理、籌建所需之調查、研究、勘查、審查、規劃、徵集、參與，以及教育推廣等經費編列預算1,500萬元。國立原住民博物館園區選址於高雄市鳥松區澄清湖舊澄清湖青年活動中心範圍，該地距離高鐵站約半小時車程，大眾運輸則可能需要近1個小時，對於外縣市乃至於海外遊客而言並不方便。以往交通部觀光署有推動「台灣好行」，以公車接駁便利遊客前往臺灣各個主要旅遊景點，請原住民族委員會就便利交通、旅遊體驗方面，邀集交通部、觀光署、高雄市政府等機關進行研議，爰凍結該項預算，俟原住民族委員會於2個月內，向立法院內政委員會提出專案報告並經同意後，始得動支。【183】","114 年度原住民族委員會歲出預算第 9 目「原住民族教育推展」編列 30 億 2,891 萬 2 千元，爰就下列各案併案凍結 3,000 萬元，俟原住民族委員會向立法院內政 委員會提出專案報告並經同意後，始得動支。","李柏毅（王美惠、張宏陸）","0","30000000","05103610300 原住民族教育推展 > 03 國立原住民族博物館籌備業務 > 子計畫","委託辦理國立原住民族博物館園區維護管理、籌建所需之調查、研究、勘查、審查、規劃、徵集、參與，以及教育推廣等經費15000千元。〈委辦費〉","0","0","15000000 (--)","https://www.cip.gov.tw/zh-tw/news/data-list/AD87E77E23958BA0/D063800730D7E8AE005A2849869E4F36-info.html"
12,"委員會-11-2-15-12","31",114,"關於原住民族委員會、原住民族文化發展中心部分。","歲出部分","原民會","原住民族委員會","通過","高金素梅","黃建賓;許宇甄","內政委員會","2024/11/25（內政委員會）","16909000","凍結","2024-11-25","第11屆第2會期內政委員會第12次全體委員會議","https://ppg.ly.gov.tw/ppg/sittings/2024112278/details?meetingDate=113/11/25&meetingTime=09:00-17:30&departmentCode=null",NA,"114年度原住民族委員會歲出預算第2目「綜合規劃發展-健全原住民族法制經費-業務費」編列預算1,690萬9千元。查113年7月31日總統府新聞稿中明確表示「總統府原住民族歷史正義與轉型正義委員會完成階段性任務交棒行政院原推會持續推動原住民希望工程」，相關業務確定中止。未來的相關預算應回歸原住民族委員會本職業務，確保資源能被有效運用在原住民族事務的核心工作，才能真正達到推動原住民族文化傳承及促進原住民族權益發展的目的，爰凍結該項預算，俟原住民族委員會向立法院內政委員會提出專案報告並經同意後，始得動支。【50】","114 年度原住民族委員會歲出預算第 2 目「綜合規劃發展」編列 1 億 5,052 萬 1 千元，爰就下列各案併案凍結 300 萬元，俟原住民族委員會向立法院內政委員 會提出專案報告並經同意後，始得動支。","高金素梅（黃建賓、許宇甄）","0","3000000","3703610200 綜合規劃發展 > 03 健全原住民族法制經費 > 2000 業務費",NA,NA,"14609000","2300000 (+16%)","https://www.cip.gov.tw/zh-tw/news/data-list/AD87E77E23958BA0/D063800730D7E8AE005A2849869E4F36-info.html"
13,"委員會-11-2-15-12","42",114,"關於原住民族委員會、原住民族文化發展中心部分。","歲出部分","原民會","原住民族委員會","通過","高金素梅","黃建賓;許宇甄","內政委員會","2024/11/25（內政委員會）","16930000","凍結","2024-11-25","第11屆第2會期內政委員會第12次全體委員會議","https://ppg.ly.gov.tw/ppg/sittings/2024112278/details?meetingDate=113/11/25&meetingTime=09:00-17:30&departmentCode=null",NA,"114年度原住民族委員會歲出預算第9目「原住民族教育推展-國立原住民族博物館籌備業務」辦理國立原住民族博物館籌備處公務編列預算1,693萬元。臺灣原住民族的歷史文物，在幾百年來的殖民掠奪中，被殖民者搜刮殆盡了，其中日本大阪的民族學博物館就有五千多件歷史文物精品，而他國博物館也都有臺灣原住民族藏品，例如：柏林民族學博物館、大英博物館、皇家安大略博物館等。故應在國立原住民族博物館新建工程同時擬訂相關文物調查、展品規劃以及人力培育等具體執行規劃，俾利博物館推動軟硬體之建置並使籌備處效能發揮更大，爰凍結該項預算，俟原住民族委員會於2個月內，向立法院內政委員會提出專案報告並經同意後，始得動支。【182】","114 年度原住民族委員會歲出預算第 9 目「原住民族教育推展」編列 30 億 2,891 萬 2 千元，爰就下列各案併案凍結 3,000 萬元，俟原住民族委員會向立法院內政 委員會提出專案報告並經同意後，始得動支。","高金素梅（黃建賓、許宇甄）","0","30000000","05103610300 原住民族教育推展 > 03 國立原住民族博物館籌備業務 > 子計畫","辦理國立原住民族博物館籌備處公務所需辦公室、水電費、通訊費、活動保險、專家學者諮詢與講論會、辦公室用品、行政庶務及辦理各項業務所需約用人員酬金等經費16930千元。〈業務費〉","0","0","16930000 (--)","https://www.cip.gov.tw/zh-tw/news/data-list/AD87E77E23958BA0/D063800730D7E8AE005A2849869E4F36-info.html"
15,"委員會-11-2-15-12","10",114,"關於原住民族委員會、原住民族文化發展中心部分。","歲出部分","原民會","原住民族委員會","通過","高金素梅","黃建賓;許宇甄","內政委員會","2024/11/25（內政委員會）","17514000","凍結","2024-11-25","第11屆第2會期內政委員會第12次全體委員會議","https://ppg.ly.gov.tw/ppg/sittings/2024112278/details?meetingDate=113/11/25&meetingTime=09:00-17:30&departmentCode=null",NA,"114年度原住民族委員會歲出預算第1目「一般行政-基本行政工作維持費-業務費-一般事務費」編列預算1,751萬4千元。該筆經費涵蓋大樓管理費、保全人員及保全系統費用、新聞連絡聯誼費用、文宣用品、國會聯繫工作費用、政風及主計工作費用，以及線上新聞資料庫維護與授權費用等相關支出，與113年度預算的1,325萬7千元相比，增加了425萬7千元，增幅達32.11%。鑑於政府經費短缺，資源有限，原住民族委員會應妥善控制開支。因此，凍結該項預算，俟原住民族委員會向立法院內政委員會提出專案報告並經同意後，始得動支，以期達到撙節支用的目標。【12】","114 年度原住民族委員會歲出預算第 1 目「一般行政」編列 3 億 1,172 萬 3 千元，爰就下列各案併案凍結 2,000 萬元，俟原住民族委員會向立法院內政委員會提 出專案報告並經同意後，始得動支。","高金素梅（黃建賓、許宇甄）","0","20000000","3703610100 一般行政 > 02 基本行政工作維持費 > 2000 業務費 > 2054 一般事務費",NA,NA,"13257000","4257000 (+32%)","https://www.cip.gov.tw/zh-tw/news/data-list/AD87E77E23958BA0/D063800730D7E8AE005A2849869E4F36-info.html"
16,"委員會-11-2-15-12","25",114,"關於原住民族委員會、原住民族文化發展中心部分。","歲出部分","原民會","原住民族委員會","通過","高金素梅","黃建賓;許宇甄","內政委員會","2024/11/25（內政委員會）","17809000","凍結","2024-11-25","第11屆第2會期內政委員會第12次全體委員會議","https://ppg.ly.gov.tw/ppg/sittings/2024112278/details?meetingDate=113/11/25&meetingTime=09:00-17:30&departmentCode=null",NA,"114年度原住民族委員會歲出預算第2目「綜合規劃發展-健全原住民族法制經費」編列預算1,780萬9千元。查原住民族委員會編列714萬3千元推動原住民族法制整合業務，並設置原住民族法制整合的管制考核、爭議研討及統合平台，但至今仍未見原住民族自治法的立法進展。此外，連年編列100萬元的原住民族法制發展計畫預算，亦未見顯著成效，爰凍結該項預算，俟原住民族委員會於3個月內，向立法院內政委員會提出相關預算必要性與確切績效的專案報告並經同意後，始得動支。【41】","114 年度原住民族委員會歲出預算第 2 目「綜合規劃發展」編列 1 億 5,052 萬 1 千元，爰就下列各案併案凍結 300 萬元，俟原住民族委員會向立法院內政委員 會提出專案報告並經同意後，始得動支。","高金素梅（黃建賓、許宇甄）","0","3000000","3703610200 綜合規劃發展 > 03 健全原住民族法制經費",NA,NA,"15435000","2374000 (+15%)","https://www.cip.gov.tw/zh-tw/news/data-list/AD87E77E23958BA0/D063800730D7E8AE005A2849869E4F36-info.html"
17,"委員會-11-2-15-12","26",114,"關於原住民族委員會、原住民族文化發展中心部分。","歲出部分","原民會","原住民族委員會","通過","黃捷","李柏毅;王美惠","內政委員會","2024/11/25（內政委員會）","17809000","凍結","2024-11-25","第11屆第2會期內政委員會第12次全體委員會議","https://ppg.ly.gov.tw/ppg/sittings/2024112278/details?meetingDate=113/11/25&meetingTime=09:00-17:30&departmentCode=null",NA,"114年度原住民族委員會歲出預算第2目「綜合規劃發展-健全原住民族法制經費」編列預算1,780萬9千元。行政院人權處已於113年5月2日公告反歧視法草案，該草案將各法規中的歧視規範統合，此立法不僅為保障不同族群的權益，更是強化社會多元包容的重要一步。然目前反歧視法草案中，未見原住民族委員會明確角色、也未於原住民族委員會114年預算報告中看見與反歧視工作計畫。過去屢次發生原住民族歧視事件，包括中ㄧ中園遊會歧視言論、臺灣大學學生自治選舉、言論自由月事件，或校園內經常出現對原住民學生入學保障政策之歧視言行等，顯見族群平等教育刻不容緩。原住民族委員會應檢視反歧視法之草案是否充分保障原住民族之平等權，並與行政院人權及轉型正義處交流草案修正方向，爰凍結該項預算，俟原住民族委員會向立法院內政委員會提出專案報告並經同意後，始得動支。其報告須包含：(1)對現行反歧視法草案對族群保障不足之應對作法。(2)評估是否透過訪談或座談等形式，了解原住民族在日常生活中遭遇的歧視及微歧視樣態。(3)盤整114年度推進反歧視業務之相關政策。【42】","114 年度原住民族委員會歲出預算第 2 目「綜合規劃發展」編列 1 億 5,052 萬 1 千元，爰就下列各案併案凍結 300 萬元，俟原住民族委員會向立法院內政委員 會提出專案報告並經同意後，始得動支。","黃捷（李柏毅、王美惠）","0","3000000","3703610200 綜合規劃發展 > 03 健全原住民族法制經費",NA,NA,"15435000","2374000 (+15%)","https://www.cip.gov.tw/zh-tw/news/data-list/AD87E77E23958BA0/D063800730D7E8AE005A2849869E4F36-info.html"
18,"委員會-11-2-15-12","14",114,"關於原住民族委員會、原住民族文化發展中心部分。","歲出部分","原民會","原住民族文化發展中心","通過",NA,NA,"內政委員會","2024/11/25（內政委員會）","18656000","凍結","2024-11-25","第11屆第2會期內政委員會第12次全體委員會議","https://ppg.ly.gov.tw/ppg/sittings/2024112278/details?meetingDate=113/11/25&meetingTime=09:00-17:30&departmentCode=null",NA,"114年度原住民族委員會原住民族文化發展中心預算案於第2目「藝術展演及文化推廣業務」編列預算1,865萬6千元。原住民族文化發展中心負責推動原住民族文化藝術及國際交流業務，其中辦理的南島民族論壇具有促進國際文化交流的重要意義，但其實際成效仍有進一步說明空間。同時，其藝術發展業務對全台原住民族文化振興的影響，尤其在提升族群文化影響力與藝術品質方面，應具體闡述資源運用的成效。至於國家級樂舞團的定位與發展，鑑於其具備跨文化及高度象徵性的特質，如何與文化部協作進行資源整合與政策規劃，應進一步討論與明確。此舉並非改變職責分工，而是希望在政策高度與執行效率之間尋求平衡，以期充分發揮該計畫的影響力。為確保資源配置合理，並促進原住民族文化推廣與政策整合的有效性，原住民族文化發展中心應就南島民族論壇的成效、藝術發展業務的具體執行細節，以及國家級樂舞團規劃中與文化部協作的可行性，提出專案報告，爰凍結該項預算，俟原住民族委員會原住民族文化發展中心於2個月內，向立法院內政委員會提出專案報告並經同意後始得動支。【原發7】","114 年度原住民族委員會原住民族文化發展中心歲出預算第 2 目「藝術展演及文 化推廣業務」編列 1,865 萬 6 千元，爰就下列各案併案凍結該項預算 15%，俟 原住民族委員會原住民族文化發展中心向立法院內政委員會提出專案報告並經同意後，始得動支。","牛煦庭（黃建賓、丁學忠、林倩綺）","0","2798400","5303620200 藝術展演及文化推廣業務",NA,NA,"16165000","2491000 (+15%)","https://www.tacp.gov.tw/WebFiles/1cef5698-10ee-4497-a7f8-d63bea2f29d1.pdf"
